ID,NO,AREA,CATEGORY,STATUS
6780,XF3D012,46,12,未锁定
6781,XF3D013,46,12,锁定
6782,XF3D014,46,12,锁定
6783,XF3D015,46,12,锁定
6784,XF3D016,46,12,锁定
6785,XF3D017,46,12,锁定
6786,XF3D018,46,12,锁定
6787,XF3D019,46,12,未锁定
6788,XF3D020,46,12,未锁定
6789,XF3D021,46,12,未锁定
6790,XF3D022,46,12,未锁定
6791,XF3D023,46,12,未锁定
6792,XF3D024,46,12,未锁定
6793,XF3D025,46,12,锁定
6794,XF3D026,46,12,锁定
6795,XF3D027,46,12,锁定
6796,XF3D028,46,12,锁定
6797,XF3D029,46,12,锁定
6798,XF3D030,46,12,锁定
6799,XF3D031,46,12,未锁定
6800,XF3D032,46,12,未锁定
6801,XF3D033,46,12,未锁定
6802,XF3D034,46,12,未锁定
6803,XF3D035,46,12,未锁定
6804,XF3D036,46,12,未锁定
6805,XF3D037,46,12,锁定
6806,XF3D038,46,12,锁定
6807,XF3D039,46,12,锁定
6808,XF3D040,46,12,锁定
6809,XF3D041,46,12,锁定
6810,XF3D042,46,12,锁定
6811,XF3D043,46,12,未锁定
6812,XF3D044,46,12,未锁定
6813,XF3D045,46,12,未锁定
6814,XF3D046,46,12,未锁定
6815,XF3D047,46,12,未锁定
6816,XF3D048,46,12,未锁定
6817,XF3D049,46,12,锁定
6818,XF3D050,46,12,锁定
6819,XF3D051,46,12,锁定
6820,XF3D052,46,12,锁定
6821,XF3D053,46,12,锁定
6822,XF3D054,46,12,锁定
6823,XF3D055,46,12,未锁定
6824,XF3D056,46,12,未锁定
6825,XF3D057,46,12,未锁定
6826,XF3D058,46,12,未锁定
6827,XF3D059,46,12,未锁定
6828,XF3D060,46,12,未锁定
6829,XF3D061,46,12,锁定
6830,XF3D062,46,12,锁定
6831,XF3D063,46,12,锁定
6832,XF3D064,46,12,锁定
6833,XF3D065,46,12,锁定
6834,XF3D066,46,12,锁定
6835,XF3D067,46,12,未锁定
6836,XF3D068,46,12,未锁定
6837,XF3D069,46,12,未锁定
6838,XF3D070,46,12,未锁定
6839,XF3D071,46,12,未锁定
6840,XF3D072,46,12,未锁定
6841,XF3D073,46,12,锁定
6842,XF3D074,46,12,锁定
6843,XF3D075,46,12,锁定
6844,XF3D076,46,12,锁定
6845,XF3D077,46,12,锁定
6846,XF3D078,46,12,锁定
6847,XF3D079,46,12,未锁定
6848,XF3D080,46,12,未锁定
6849,XF3D081,46,12,未锁定
6850,XF3D082,46,12,未锁定
6851,XF3D083,46,12,未锁定
6852,XF3D084,46,12,未锁定
6853,XF3D085,46,12,锁定
6854,XF3D086,46,12,锁定
6855,XF3D087,46,12,锁定
6856,XF3D088,46,12,锁定
6857,XF3D089,46,12,未锁定
6858,XF3D090,46,12,未锁定
6859,XF3D091,46,12,未锁定
6860,XF3D092,46,12,未锁定
6861,XF3D093,46,12,锁定
6862,XF3D094,46,12,锁定
6863,XF3D095,46,12,锁定
6864,XF3D096,46,12,锁定
6865,XF3D097,46,12,未锁定
6866,XF3D098,46,12,未锁定
6867,XF3D099,46,12,未锁定
6868,XF3D100,46,12,未锁定
6869,XF3D101,46,12,锁定
6870,XF3D102,46,12,锁定
6871,XF3D103,46,12,锁定
6872,XF3D104,46,12,锁定
6873,XF3D105,46,12,未锁定
6874,XF3D106,46,12,未锁定
6875,XF3D107,46,12,未锁定
6876,XF3D108,46,12,未锁定
6877,XF3D109,46,12,锁定
6878,XF3D110,46,12,锁定
6879,XF3D111,46,12,未锁定
6880,XF3D112,46,12,未锁定
6881,XF3D113,46,12,锁定
6882,XF3D114,46,12,锁定
6883,XF3D115,46,12,锁定
6884,XF3D116,46,12,锁定
6885,XF3D117,46,12,未锁定
6886,XF3D118,46,12,未锁定
6887,XF3D119,46,12,未锁定
6888,XF3D120,46,12,未锁定
6889,XF3D121,46,12,锁定
6890,XF3D122,46,12,锁定
6891,XF3D123,46,12,锁定
6892,XF3D124,46,12,锁定
6893,XF3D125,46,12,未锁定
6894,XF3D126,46,12,未锁定
6895,XF3D127,46,12,未锁定
6896,XF3D128,46,12,未锁定
6897,XF3D129,46,12,锁定
6898,XF3D130,46,12,锁定
6899,XF3D131,46,12,锁定
6900,XF3D132,46,12,锁定
6901,XF3D133,46,12,未锁定
6902,XF3D134,46,12,未锁定
6903,XF3D135,46,12,未锁定
6904,XF3D136,46,12,未锁定
6905,XF3E001,47,12,锁定
6906,XF3E002,47,12,锁定
6907,XF3E003,47,12,锁定
6908,XF3E004,47,12,锁定
6909,XF3E005,47,12,锁定
6910,XF3E006,47,12,锁定
6911,XF3E007,47,12,未锁定
6912,XF3E008,47,12,未锁定
6913,XF3E009,47,12,未锁定
6914,XF3E010,47,12,未锁定
6915,XF3E011,47,12,未锁定
6916,XF3E012,47,12,未锁定
6917,XF3E013,47,12,锁定
6918,XF3E014,47,12,锁定
6919,XF3E015,47,12,锁定
6920,XF3E016,47,12,锁定
6921,XF3E017,47,12,锁定
6922,XF3E018,47,12,锁定
6923,XF3E019,47,12,未锁定
6924,XF3E020,47,12,未锁定
6925,XF3E021,47,12,未锁定
6926,XF3E022,47,12,未锁定
6927,XF3E023,47,12,未锁定
6928,XF3E024,47,12,未锁定
6929,XF3E025,47,12,锁定
6930,XF3E026,47,12,锁定
6931,XF3E027,47,12,锁定
6932,XF3E028,47,12,锁定
6933,XF3E029,47,12,锁定
6934,XF3E030,47,12,锁定
6935,XF3E031,47,12,未锁定
6936,XF3E032,47,12,未锁定
6937,XF3E033,47,12,未锁定
6938,XF3E034,47,12,未锁定
6939,XF3E035,47,12,未锁定
6940,XF3E036,47,12,未锁定
6941,XF3E037,47,12,锁定
6942,XF3E038,47,12,锁定
6943,XF3E039,47,12,未锁定
6944,XF3E040,47,12,未锁定
6945,XF3E041,47,12,锁定
6946,XF3E042,47,12,锁定
6947,XF3E043,47,12,未锁定
6948,XF3E044,47,12,未锁定
6949,XF3E045,47,12,锁定
6950,XF3E046,47,12,锁定
6951,XF3E047,47,12,锁定
6952,XF3E048,47,12,锁定
6953,XF3E049,47,12,锁定
6954,XF3E050,47,12,锁定
6955,XF3E051,47,12,未锁定
6956,XF3E052,47,12,未锁定
6957,XF3E053,47,12,未锁定
6958,XF3E054,47,12,未锁定
6959,XF3E055,47,12,未锁定
6960,XF3E056,47,12,未锁定
6961,XF3E057,47,12,锁定
6962,XF3E058,47,12,锁定
6963,XF3E059,47,12,锁定
6964,XF3E060,47,12,锁定
6965,XF3E061,47,12,锁定
6966,XF3E062,47,12,锁定
6967,XF3E063,47,12,未锁定
6968,XF3E064,47,12,未锁定
6969,XF3E065,47,12,未锁定
6970,XF3E066,47,12,未锁定
6971,XF3E067,47,12,未锁定
6972,XF3E068,47,12,未锁定
6973,XF3E069,47,12,锁定
6974,XF3E070,47,12,锁定
6975,XF3E071,47,12,锁定
6976,XF3E072,47,12,锁定
6977,XF3E073,47,12,锁定
6978,XF3E074,47,12,锁定
6979,XF3E075,47,12,未锁定
6980,XF3E076,47,12,未锁定
6981,XF3E077,47,12,未锁定
6982,XF3E078,47,12,未锁定
6983,XF3E079,47,12,未锁定
6984,XF3E080,47,12,未锁定
6985,XF3E081,47,12,锁定
6986,XF3E082,47,12,锁定
6987,XF3E083,47,12,锁定
6988,XF3E084,47,12,锁定
6989,XF3E085,47,12,未锁定
6990,XF3E086,47,12,未锁定
6991,XF3E087,47,12,未锁定
6992,XF3E088,47,12,未锁定
6993,XF3E089,47,12,锁定
6994,XF3E090,47,12,锁定
6995,XF3E091,47,12,锁定
6996,XF3E092,47,12,锁定
6997,XF3E093,47,12,未锁定
6998,XF3E094,47,12,未锁定
6999,XF3E095,47,12,未锁定
7000,XF3E096,47,12,未锁定
7001,XF3E097,47,12,锁定
7002,XF3E098,47,12,锁定
7003,XF3E099,47,12,锁定
7004,XF3E100,47,12,锁定
7005,XF3E101,47,12,未锁定
7006,XF3E102,47,12,未锁定
7007,XF3E103,47,12,未锁定
7008,XF3E104,47,12,未锁定
7009,XF3E105,47,12,锁定
7010,XF3E106,47,12,锁定
7011,XF3E107,47,12,锁定
7012,XF3E108,47,12,锁定
7013,XF3E109,47,12,未锁定
7014,XF3E110,47,12,未锁定
7015,XF3E111,47,12,未锁定
7016,XF3E112,47,12,未锁定
7017,XF3E113,47,12,锁定
7018,XF3E114,47,12,锁定
7019,XF3E115,47,12,锁定
7020,XF3E116,47,12,锁定
7021,XF3E117,47,12,未锁定
7022,XF3E118,47,12,未锁定
7023,XF3E119,47,12,未锁定
7024,XF3E120,47,12,未锁定
7025,XF3E121,47,12,锁定
7026,XF3E122,47,12,锁定
7027,XF3E123,47,12,锁定
7028,XF3E124,47,12,锁定
7029,XF3E125,47,12,未锁定
7030,XF3E126,47,12,未锁定
7031,XF3E127,47,12,未锁定
7032,XF3E128,47,12,未锁定
7033,XF3E129,47,12,锁定
7034,XF3E130,47,12,锁定
7035,XF3E131,47,12,锁定
7036,XF3E132,47,12,锁定
7037,XF3E133,47,12,未锁定
7038,XF3E134,47,12,未锁定
7039,XF3E135,47,12,未锁定
7040,XF3E136,47,12,未锁定
7041,XF3A001,48,12,锁定
7042,XF3A002,48,12,锁定
7043,XF3A003,48,12,锁定
7044,XF3A004,48,12,锁定
7045,XF3A005,48,12,锁定
7046,XF3A006,48,12,锁定
7047,XF3A007,48,12,锁定
7048,XF3A008,48,12,锁定
7049,XF3A009,48,12,未锁定
7050,XF3A010,48,12,未锁定
7051,XF3A011,48,12,未锁定
7052,XF3A012,48,12,未锁定
7053,XF3A013,48,12,未锁定
7054,XF3A014,48,12,未锁定
7055,XF3A015,48,12,未锁定
7056,XF3A016,48,12,未锁定
7057,XF3A017,48,12,锁定
7058,XF3A018,48,12,锁定
7059,XF3A019,48,12,锁定
7060,XF3A020,48,12,锁定
7061,XF3A021,48,12,锁定
7062,XF3A022,48,12,锁定
7063,XF3A023,48,12,锁定
7064,XF3A024,48,12,锁定
7065,XF3A025,48,12,未锁定
7066,XF3A026,48,12,未锁定
7067,XF3A027,48,12,未锁定
7068,XF3A028,48,12,未锁定
7069,XF3A029,48,12,未锁定
7070,XF3A030,48,12,未锁定
7071,XF3A031,48,12,未锁定
7072,XF3A032,48,12,未锁定
7073,XF3A033,48,12,锁定
7074,XF3A034,48,12,锁定
7075,XF3A035,48,12,锁定
7076,XF3A036,48,12,锁定
7077,XF3A037,48,12,锁定
7078,XF3A038,48,12,锁定
7079,XF3A039,48,12,锁定
7080,XF3A040,48,12,锁定
7081,XF3A041,48,12,未锁定
7082,XF3A042,48,12,未锁定
7083,XF3A043,48,12,未锁定
7084,XF3A044,48,12,未锁定
7085,XF3A045,48,12,未锁定
7086,XF3A046,48,12,未锁定
7087,XF3A047,48,12,未锁定
7088,XF3A048,48,12,未锁定
7089,XF3A049,48,12,锁定
7090,XF3A050,48,12,锁定
7091,XF3A051,48,12,锁定
7092,XF3A052,48,12,锁定
7093,XF3A053,48,12,锁定
7094,XF3A054,48,12,锁定
7095,XF3A055,48,12,未锁定
7096,XF3A056,48,12,未锁定
7097,XF3A057,48,12,未锁定
7098,XF3A058,48,12,未锁定
7099,XF3A059,48,12,未锁定
7100,XF3A060,48,12,未锁定
7101,XF3A061,48,12,锁定
7102,XF3A062,48,12,锁定
7103,XF3A063,48,12,锁定
7104,XF3A064,48,12,锁定
7105,XF3A065,48,12,锁定
7106,XF3A066,48,12,锁定
7107,XF3A067,48,12,锁定
7108,XF3A068,48,12,锁定
7109,XF3A069,48,12,未锁定
7110,XF3A070,48,12,未锁定
7111,XF3A071,48,12,未锁定
7112,XF3A072,48,12,未锁定
7113,XF3A073,48,12,未锁定
7114,XF3A074,48,12,未锁定
7115,XF3A075,48,12,未锁定
7116,XF3A076,48,12,未锁定
7117,XF3A077,48,12,锁定
7118,XF3A078,48,12,锁定
7119,XF3A079,48,12,锁定
7120,XF3A080,48,12,锁定
7121,XF3A081,48,12,锁定
7122,XF3A082,48,12,锁定
7123,XF3A083,48,12,锁定
7124,XF3A084,48,12,锁定
7125,XF3A085,48,12,未锁定
7126,XF3A086,48,12,未锁定
7127,XF3A087,48,12,未锁定
7128,XF3A088,48,12,未锁定
7129,XF3A089,48,12,未锁定
7130,XF3A090,48,12,未锁定
7131,XF3A091,48,12,未锁定
7132,XF3A092,48,12,未锁定
7133,XF3A093,48,12,锁定
7134,XF3A094,48,12,锁定
7135,XF3A095,48,12,锁定
7136,XF3A096,48,12,锁定
7137,XF3A097,48,12,锁定
7138,XF3A098,48,12,锁定
7139,XF3A099,48,12,锁定
7140,XF3A100,48,12,锁定
7141,XF3A101,48,12,锁定
7142,XF3A102,48,12,锁定
7143,XF3A103,48,12,锁定
7144,XF3A104,48,12,锁定
7145,XF3A105,48,12,锁定
7146,XF3A106,48,12,锁定
7147,XF3A107,48,12,锁定
7148,XF3A108,48,12,锁定
7149,XF3A109,48,12,锁定
7150,XF3A110,48,12,锁定
7151,XF3A111,48,12,锁定
7152,XF3A112,48,12,锁定
7153,XF3A113,48,12,锁定
7154,XF3A114,48,12,锁定
7155,XF3A115,48,12,未锁定
7156,XF3A116,48,12,未锁定
7157,XF3A117,48,12,未锁定
7158,XF3A118,48,12,未锁定
7159,XF3A119,48,12,未锁定
7160,XF3A120,48,12,未锁定
7161,XF3A121,48,12,锁定
7162,XF3A122,48,12,锁定
7163,XF3A123,48,12,锁定
7164,XF3A124,48,12,锁定
7165,XF3A125,48,12,锁定
7166,XF3A126,48,12,锁定
7167,XF3A127,48,12,锁定
7168,XF3A128,48,12,锁定
7169,XF3A129,48,12,未锁定
7170,XF3A130,48,12,未锁定
7171,XF3A131,48,12,未锁定
7172,XF3A132,48,12,未锁定
7173,XF3A133,48,12,未锁定
7174,XF3A134,48,12,未锁定
7175,XF3A135,48,12,未锁定
7176,XF3A136,48,12,未锁定
7177,XF3A137,48,12,锁定
7178,XF3A138,48,12,锁定
7179,XF3A139,48,12,锁定
7180,XF3A140,48,12,锁定
7181,XF3A141,48,12,锁定
7182,XF3A142,48,12,锁定
7183,XF3A143,48,12,锁定
7184,XF3A144,48,12,锁定
7185,XF3A145,48,12,未锁定
7186,XF3A146,48,12,未锁定
7187,XF3A147,48,12,未锁定
7188,XF3A148,48,12,未锁定
7189,XF3A149,48,12,未锁定
7190,XF3A150,48,12,未锁定
7191,XF3A151,48,12,未锁定
7192,XF3A152,48,12,未锁定
7193,XF3A153,48,12,锁定
7194,XF3A154,48,12,锁定
7195,XF3A155,48,12,锁定
7196,XF3A156,48,12,锁定
7197,XF3A157,48,12,锁定
7198,XF3A158,48,12,锁定
7199,XF3A159,48,12,锁定
7200,XF3A160,48,12,锁定
7201,XF3A161,48,12,未锁定
7202,XF3A162,48,12,未锁定
7203,XF3A163,48,12,未锁定
7204,XF3A164,48,12,未锁定
7205,XF3A165,48,12,未锁定
7206,XF3A166,48,12,未锁定
7207,XF3A167,48,12,未锁定
7208,XF3A168,48,12,未锁定
7209,XF4B001,49,12,锁定
7210,XF4B002,49,12,未锁定
7211,XF4B003,49,12,未锁定
7212,XF4B004,49,12,锁定
7213,XF4B005,49,12,未锁定
7214,XF4B006,49,12,锁定
7215,XF4B007,49,12,锁定
7216,XF4B008,49,12,未锁定
7217,XF4B009,49,12,未锁定
7218,XF4B010,49,12,锁定
7219,XF4B011,49,12,锁定
7220,XF4B012,49,12,未锁定
7221,XF4B013,49,12,未锁定
7222,XF4B014,49,12,锁定
7223,XF4B015,49,12,锁定
7224,XF4B016,49,12,未锁定
7225,XF4B017,49,12,锁定
7226,XF4B018,49,12,未锁定
7227,XF4B019,49,12,未锁定
7228,XF4B020,49,12,锁定
7229,XF4B021,49,12,锁定
7230,XF4B022,49,12,未锁定
7231,XF4B023,49,12,未锁定
7232,XF4B024,49,12,锁定
7233,XF4B025,49,12,锁定
7234,XF4B026,49,12,未锁定
7235,XF4B027,49,12,未锁定
7236,XF4B028,49,12,锁定
7237,XF4B029,49,12,锁定
7238,XF4B030,49,12,未锁定
7239,XF4B031,49,12,未锁定
7240,XF4B032,49,12,锁定
7241,XF4B033,49,12,未锁定
7242,XF4B034,49,12,锁定
7243,XF4B035,49,12,锁定
7244,XF4B036,49,12,未锁定
7245,XF4B037,49,12,锁定
7246,XF4B038,49,12,未锁定
7247,XF4B039,49,12,未锁定
7248,XF4B040,49,12,锁定
7249,XF4B041,49,12,锁定
7250,XF4B042,49,12,未锁定
7251,XF4B043,49,12,未锁定
7252,XF4B044,49,12,锁定
7253,XF4C001,50,12,锁定
7254,XF4C002,50,12,锁定
7255,XF4C003,50,12,锁定
7256,XF4C004,50,12,锁定
7257,XF4C005,50,12,锁定
7258,XF4C006,50,12,锁定
7259,XF4C007,50,12,锁定
7260,XF4C008,50,12,锁定
7261,XF4C009,50,12,锁定
7262,XF4C010,50,12,未锁定
7263,XF4C011,50,12,未锁定
7264,XF4C012,50,12,未锁定
7265,XF4C013,50,12,未锁定
7266,XF4C014,50,12,未锁定
7267,XF4C015,50,12,未锁定
7268,XF4C016,50,12,未锁定
7269,XF4C017,50,12,未锁定
7270,XF4C018,50,12,未锁定
8894,XF4D001,51,12,未锁定
8895,XF4D002,51,12,未锁定
8896,XF4D003,51,12,未锁定
8897,XF4D004,51,12,未锁定
8898,XF4D005,51,12,未锁定
8899,XF4D006,51,12,未锁定
8900,XF4D007,51,12,未锁定
8901,XF4D008,51,12,未锁定
8902,XF4D009,51,12,未锁定
8903,XF4D010,51,12,未锁定
8904,XF4D011,51,12,锁定
8905,XF4D012,51,12,锁定
8906,XF4D013,51,12,锁定
8907,XF4D014,51,12,锁定
8908,XF4D015,51,12,锁定
8909,XF4D016,51,12,锁定
8910,XF4D017,51,12,锁定
8911,XF4D018,51,12,锁定
8912,XF4D019,51,12,锁定
8913,XF4D020,51,12,锁定
8914,XF4D021,51,12,未锁定
8915,XF4D022,51,12,未锁定
8916,XF4D023,51,12,未锁定
8917,XF4D024,51,12,未锁定
8918,XF4D025,51,12,未锁定
8919,XF4D026,51,12,未锁定
8920,XF4D027,51,12,未锁定
8921,XF4D028,51,12,未锁定
8922,XF4D029,51,12,未锁定
8923,XF4D030,51,12,未锁定
8924,XF4D031,51,12,锁定
8925,XF4D032,51,12,锁定
8926,XF4D033,51,12,锁定
8927,XF4D034,51,12,锁定
8928,XF4D035,51,12,锁定
8929,XF4D036,51,12,锁定
8930,XF4D037,51,12,锁定
8931,XF4D038,51,12,锁定
8932,XF4D039,51,12,锁定
8933,XF4D040,51,12,锁定
8934,XF4D041,51,12,未锁定
8935,XF4D042,51,12,未锁定
8936,XF4D043,51,12,未锁定
8937,XF4D044,51,12,未锁定
8938,XF4D045,51,12,未锁定
